time,Normalized_Flux,error
2335.615069,0.998803075,0.000683598
2335.6153,0.998738666,0.000683756
2335.615532,0.997904804,0.000683408
2335.615763,0.999213659,0.000683386
2335.615995,0.997799169,0.000682948
2335.616226,0.999288244,0.000683408
2335.616458,0.999169705,0.00068347
2335.616689,0.999952165,0.000683457
2335.616921,0.999594451,0.000683635
2335.617152,0.998591489,0.000683694
2335.617384,1.00078781,0.000684856
2335.617615,0.999116206,0.000683798
2335.617847,1.000683013,0.000683914
2335.618078,0.998961476,0.000683745
2335.61831,0.997965437,0.000683161
2335.618541,0.998242797,0.000682599
2335.618773,1.00072896,0.000683631
2335.619004,0.999447379,0.000683393
2335.619236,0.998768248,0.000683335
2335.619467,0.999694947,0.000683764
2335.619699,1.000806797,0.000683747
2335.61993,0.99853673,0.000683296
2335.620162,0.998855631,0.00068311
2335.620393,0.999961396,0.000684062
2335.620625,1.000367679,0.000683771
2335.620856,0.999071413,0.000683463
2335.621088,0.998968295,0.000683199
2335.621319,0.999579031,0.000684018
2335.621551,0.999079385,0.000684165
2335.621782,0.999280376,0.000683295
2335.622014,0.997343896,0.000682647
2335.622245,0.998502428,0.000683004
2335.622476,0.999222786,0.000683715
2335.622708,0.998012328,0.00068281
2335.622939,0.999402482,0.000683709
2335.623171,1.000546012,0.000684003
2335.623402,0.999468884,0.000683096
2335.623634,1.00024463,0.000683782
2335.623865,0.998562116,0.000683225
2335.624097,0.998592748,0.000683314
2335.624328,1.000357714,0.000683885
2335.62456,0.998886262,0.000683544
2335.624791,0.999338072,0.000683593
2335.625023,0.99970701,0.000684212
2335.625254,0.999093337,0.000683757
2335.625486,0.998319689,0.000683257
2335.625717,0.99769647,0.000682917
2335.625949,0.999634628,0.000683474
2335.62618,0.998929062,0.000683257
2335.626412,0.998726917,0.000683301
2335.626643,0.999999475,0.000683559
2335.626875,0.999008472,0.000683414
2335.627106,0.999336184,0.000683625
2335.627338,0.99926611,0.00068343
2335.627569,0.998656842,0.000683551
2335.627801,0.999166768,0.00068328
2335.628032,0.999527524,0.000684078
2335.628264,0.998985079,0.000683556
2335.628495,0.998546696,0.000682988
2335.628727,0.999582073,0.000683098
2335.628958,0.998998087,0.000683066
2335.62919,0.99807401,0.000683251
2335.629421,1.000471847,0.000683535
2335.629653,0.998039707,0.000684
2335.629884,0.999201176,0.000683546
2335.630116,0.997911833,0.000682617
